model_name,target_batch_size,layer_index,layer_name,conv_type_basic,layer_type_for_experiment,input_shape,output_shape,N,Cin,Cout,Hin,Win,Hout,Wout,Kh,Kw,stride_h,stride_w,padding_h,padding_w,dilation_h,dilation_w,groups,weight_elements,input_elements,output_elements,theoretical_FLOPs,theoretical_memory_bytes,theoretical_OI_FLOPs_per_byte,ridge_point_used,roofline_class_theoretical,notes
efficientnet_b7,8,32,features.2.3.block.0.0,pointwise,pointwise_expand,"(8, 48, 56, 56)","(8, 288, 56, 56)",8,48,288,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,1204224,7225344,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,33,features.2.3.block.1.0,depthwise,depthwise,"(8, 288, 56, 56)","(8, 288, 56, 56)",8,288,288,56,56,56,56,3,3,1,1,1,1,1,1,288,2592,7225344,7225344,130056192,57813120,2.2495964930,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,34,features.2.3.block.2.fc1,pointwise,pointwise_project,"(8, 288, 1, 1)","(8, 12, 1, 1)",8,288,12,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,2304,96,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,35,features.2.3.block.2.fc2,pointwise,pointwise_expand,"(8, 12, 1, 1)","(8, 288, 1, 1)",8,12,288,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,96,2304,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,36,features.2.3.block.3.0,pointwise,pointwise_project,"(8, 288, 56, 56)","(8, 48, 56, 56)",8,288,48,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,7225344,1204224,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,37,features.2.4.block.0.0,pointwise,pointwise_expand,"(8, 48, 56, 56)","(8, 288, 56, 56)",8,48,288,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,1204224,7225344,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,38,features.2.4.block.1.0,depthwise,depthwise,"(8, 288, 56, 56)","(8, 288, 56, 56)",8,288,288,56,56,56,56,3,3,1,1,1,1,1,1,288,2592,7225344,7225344,130056192,57813120,2.2495964930,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,39,features.2.4.block.2.fc1,pointwise,pointwise_project,"(8, 288, 1, 1)","(8, 12, 1, 1)",8,288,12,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,2304,96,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,40,features.2.4.block.2.fc2,pointwise,pointwise_expand,"(8, 12, 1, 1)","(8, 288, 1, 1)",8,12,288,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,96,2304,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,41,features.2.4.block.3.0,pointwise,pointwise_project,"(8, 288, 56, 56)","(8, 48, 56, 56)",8,288,48,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,7225344,1204224,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
